File,Original Size,Optimized Size,Savings,Reduction %,Original Dimensions,Status
mountain-wellness.png,7.36 MB,310.26 KB,7.05 MB,95.9%,2752x1347,✅ Success
logo-twb.png,301.21 KB,25.53 KB,275.68 KB,91.5%,3267x1038,✅ Success
facilities\Stargazing.png,3.51 MB,174.59 KB,3.34 MB,95.1%,1456x1344,✅ Success
facilities\Mountain Wellness.png,7.36 MB,373.03 KB,6.99 MB,95.0%,2752x1347,✅ Success
membership\membership-hero.jpg,28.93 MB,565.22 KB,28.38 MB,98.1%,6000x4000,✅ Success
membership\invitation-privilege.jpg,1.50 MB,163.57 KB,1.34 MB,89.3%,1536x2048,✅ Success
facilities\Waterfall Track.jpg,428.39 KB,92.70 KB,335.69 KB,78.4%,439x659,✅ Success
facilities\Swimming Pool.jpg,18.83 MB,513.75 KB,18.32 MB,97.3%,5000x3333,✅ Success
facilities\Sunrise Yoga.jpg,418.61 KB,108.96 KB,309.65 KB,74.0%,684x454,✅ Success
facilities\Riverplaying.jpg,498.11 KB,96.37 KB,401.74 KB,80.7%,765x511,✅ Success
facilities\Nature Discovery.jpg,478.35 KB,88.69 KB,389.66 KB,81.5%,736x491,✅ Success
facilities\Family Recreation.jpg,1.50 MB,163.57 KB,1.34 MB,89.3%,1536x2048,✅ Success
facilities\Family Picnic.jpg,488.38 KB,80.52 KB,407.86 KB,83.5%,758x506,✅ Success
facilities\Children Playground.jpg,407.75 KB,83.43 KB,324.32 KB,79.5%,613x409,✅ Success
facilities\Canopy Skywalk.jpg,4.23 MB,480.89 KB,3.76 MB,88.9%,5968x3979,✅ Success
villas\villa-suren\suren-9.WEB.jpg,498.60 KB,32.70 KB,465.89 KB,93.4%,896x1344,✅ Success
villas\villa-suren\suren-8kompresWEB.jpg,494.89 KB,110.89 KB,384.00 KB,77.6%,635x423,✅ Success
villas\villa-suren\suren-7web.jpg,441.21 KB,92.93 KB,348.28 KB,78.9%,672x448,✅ Success
villas\villa-suren\suren-7(1)web.jpg,482.85 KB,75.80 KB,407.05 KB,84.3%,891x724,✅ Success
villas\villa-suren\suren-5web.jpg,430.10 KB,53.11 KB,376.99 KB,87.7%,900x600,✅ Success
villas\villa-suren\suren-4web.jpg,440.81 KB,75.99 KB,364.83 KB,82.8%,744x496,✅ Success
villas\villa-suren\7.-Bedroomweb.jpg,501.52 KB,61.79 KB,439.74 KB,87.7%,986x657,✅ Success
villas\villa-suren\5.-Terraceweb.jpg,489.25 KB,104.78 KB,384.47 KB,78.6%,750x500,✅ Success
villas\villa-puspa\puspa-8WEB.jpg,440.67 KB,99.10 KB,341.57 KB,77.5%,660x440,✅ Success
villas\villa-puspa\puspa-7WEB.jpg,495.56 KB,108.51 KB,387.05 KB,78.1%,665x443,✅ Success
villas\villa-puspa\Puspa-7(1)WEB.jpg,482.19 KB,66.05 KB,416.14 KB,86.3%,969x646,✅ Success
villas\villa-puspa\puspa-33.WEB.jpg,491.85 KB,54.79 KB,437.06 KB,88.9%,1010x673,✅ Success
villas\villa-puspa\puspa-27web.jpg,477.16 KB,100.19 KB,376.96 KB,79.0%,690x460,✅ Success
villas\villa-puspa\puspa-22WEB.jpg,496.93 KB,101.48 KB,395.46 KB,79.6%,726x484,✅ Success
villas\villa-puspa\Puspa-13WEB.jpg,498.44 KB,91.42 KB,407.02 KB,81.7%,740x493,✅ Success
villas\villa-puspa\puspa-12WEB.jpg,481.95 KB,115.99 KB,365.96 KB,75.9%,720x480,✅ Success
villas\villa-pinus\RISBANG_pinus-6KOMPRESWEB.jpg,482.36 KB,58.12 KB,424.24 KB,88.0%,1003x669,✅ Success
villas\villa-pinus\RISBANG_pinus-5KOMPRESWEB.jpg,495.74 KB,53.56 KB,442.18 KB,89.2%,1023x682,✅ Success
villas\villa-pinus\RISBANG_pinus-16KOMPRESWEB.jpg,498.27 KB,73.56 KB,424.71 KB,85.2%,894x596,✅ Success
villas\villa-pinus\RISBANG_pinus-12KOMPRES.WEB.jpg,486.61 KB,74.38 KB,412.23 KB,84.7%,858x572,✅ Success
villas\villa-pinus\RISBANG_pinus-11KOMPRESWEB.jpg,495.76 KB,70.12 KB,425.65 KB,85.9%,918x612,✅ Success
villas\villa-pinus\pinus.1WEB.jpg,486.90 KB,94.41 KB,392.49 KB,80.6%,736x491,✅ Success
villas\villa-pinus\pinus-5kompresWEB.jpg,493.42 KB,107.68 KB,385.74 KB,78.2%,660x440,✅ Success
villas\villa-pinus\pinus-3(1)WEB.jpg,502.88 KB,105.20 KB,397.69 KB,79.1%,691x461,✅ Success
villas\villa-meranti\DSC03170WEB.jpg,418.04 KB,41.43 KB,376.61 KB,90.1%,780x520,✅ Success
villas\villa-meranti\6.jpg,458.45 KB,31.32 KB,427.13 KB,93.2%,869x1260,✅ Success
villas\villa-meranti\5.jpg,496.89 KB,31.28 KB,465.61 KB,93.7%,900x600,✅ Success
villas\villa-meranti\4.jpg,497.79 KB,43.01 KB,454.79 KB,91.4%,810x540,✅ Success
villas\villa-meranti\3.jpg,375.01 KB,33.76 KB,341.25 KB,91.0%,738x492,✅ Success
villas\villa-meranti\2.jpg,472.59 KB,48.20 KB,424.38 KB,89.8%,798x532,✅ Success
villas\villa-meranti\1.jpg,481.53 KB,50.73 KB,430.81 KB,89.5%,792x528,✅ Success
villas\villa-campaka\Hero Campaka.jpg,477.71 KB,101.36 KB,376.35 KB,78.8%,697x465,✅ Success
villas\villa-campaka\7.jpg,452.76 KB,95.95 KB,356.81 KB,78.8%,660x440,✅ Success
villas\villa-campaka\6.jpg,406.59 KB,38.15 KB,368.45 KB,90.6%,793x973,✅ Success
villas\villa-campaka\5.jpg,479.95 KB,64.18 KB,415.77 KB,86.6%,990x660,✅ Success
villas\villa-campaka\4.jpg,495.71 KB,71.13 KB,424.58 KB,85.7%,846x624,✅ Success
villas\villa-campaka\3.jpg,444.56 KB,56.07 KB,388.48 KB,87.4%,942x628,✅ Success
villas\villa-campaka\2.jpg,437.46 KB,57.69 KB,379.77 KB,86.8%,900x600,✅ Success
villas\villa-campaka\1.jpg,427.29 KB,67.47 KB,359.82 KB,84.2%,851x567,✅ Success
villas\selby\hero.jpg,482.40 KB,131.91 KB,350.49 KB,72.7%,900x506,✅ Success
villas\selby\DSC03113.WEB.jpg,439.45 KB,84.48 KB,354.97 KB,80.8%,1080x608,✅ Success
villas\selby\DSC03055WEB.jpg,482.40 KB,131.91 KB,350.49 KB,72.7%,900x506,✅ Success
